scoring_play,score_value,shot_x,shot_y,shot_distance,shot_type
TRUE,3,-17,22,27.80287754891569,Running Pullup Jump Shot
FALSE,0,-1,33,33.015148038438355,Pullup Jump Shot
FALSE,0,-14,16,21.2602916254693,Step Back Jump Shot
TRUE,3,-17,19,25.495097567963924,Running Pullup Jump Shot
FALSE,0,-18,20,26.90724809414742,Jump Shot
FALSE,0,-1,0,1,Driving Layup Shot
TRUE,2,5,6,7.810249675906654,Driving Floating Bank Jump Shot
FALSE,0,6,30,30.59411708155671,Step Back Jump Shot
TRUE,2,1,1,1.4142135623730951,Driving Layup Shot
FALSE,0,-16,21,26.40075756488817,Jump Shot
FALSE,0,-19,13,23.021728866442675,Jump Shot
TRUE,2,0,4,4,Driving Floating Bank Jump Shot
TRUE,2,2,1,2.23606797749979,Running Layup Shot
FALSE,0,-7,32,32.7566787083184,Jump Shot
TRUE,2,1,1,1.4142135623730951,Running Layup Shot
FALSE,0,-20,14,24.413111231467404,Step Back Jump Shot
TRUE,2,-4,14,14.560219778561036,Pullup Jump Shot
FALSE,0,2,5,5.385164807134504,Driving Layup Shot
FALSE,0,2,2,2.8284271247461903,Layup Shot Putback
FALSE,0,2,0,2,Driving Layup Shot
TRUE,2,-11,12,16.278820596099706,Step Back Jump Shot
TRUE,3,-14,22,26.076809620810597,Step Back Jump Shot
FALSE,0,-12,27,29.546573405388315,Jump Shot
FALSE,0,-17,21,27.018512172212592,Pullup Jump Shot
FALSE,0,-20,15,25,Jump Shot
FALSE,0,-20,16,25.612496949731394,Jump Shot
FALSE,0,8,3,8.54400374531753,Driving Floating Bank Jump Shot
TRUE,2,-2,1,2.23606797749979,Layup Driving Reverse
FALSE,0,-18,19,26.1725046566048,Jump Shot
FALSE,0,6,24,24.73863375370596,Pullup Jump Shot
FALSE,0,-17,22,27.80287754891569,Pullup Jump Shot
FALSE,0,0,6,6,Pullup Jump Shot
FALSE,0,2,3,3.605551275463989,Driving Layup Shot
FALSE,0,17,21,27.018512172212592,Jump Shot
FALSE,0,-18,17,24.758836806279895,Pullup Jump Shot
FALSE,0,13,23,26.419689627245813,Pullup Jump Shot
TRUE,3,-14,22,26.076809620810597,Jump Shot
TRUE,2,0,1,1,Driving Layup Shot
TRUE,3,21,11,23.706539182259394,Step Back Jump Shot
FALSE,0,-12,30,32.31098884280702,Pullup Jump Shot
FALSE,0,-18,21,27.65863337187866,Jump Shot
FALSE,0,19,16,24.839484696748443,Step Back Jump Shot
FALSE,0,5,1,5.0990195135927845,Driving Layup Shot
TRUE,3,-1,27,27.018512172212592,Pullup Jump Shot
TRUE,3,-17,25,30.23243291566195,Jump Shot
FALSE,0,1,28,28.0178514522438,Jump Shot
FALSE,0,-2,21,21.095023109728988,Step Back Jump Shot
FALSE,0,4,26,26.30589287593181,Pullup Jump Shot
FALSE,0,2,2,2.8284271247461903,Driving Floating Bank Jump Shot
FALSE,0,11,22,24.596747752497688,Step Back Jump Shot
TRUE,3,-10,24,26,Step Back Jump Shot
TRUE,3,-1,27,27.018512172212592,Jump Shot
TRUE,2,3,2,3.605551275463989,Driving Floating Bank Jump Shot
TRUE,3,-21,20,29,Jump Shot
FALSE,0,0,4,4,Turnaround Jump Shot
FALSE,0,0,1,1,Driving Finger Roll Layup
FALSE,0,-21,17,27.018512172212592,Step Back Jump Shot
TRUE,2,11,16,19.4164878389476,Pullup Jump Shot
FALSE,0,-18,18,25.45584412271571,Fade Away Jump Shot
FALSE,0,1,2,2.23606797749979,Driving Layup Shot
TRUE,3,-15,23,27.459060435491963,Pullup Jump Shot
FALSE,0,-16,18,24.08318915758459,Pullup Jump Shot
FALSE,0,-20,13,23.853720883753127,Pullup Jump Shot
FALSE,0,-11,23,25.495097567963924,Pullup Jump Shot
TRUE,2,0,2,2,Running Layup Shot
TRUE,2,-1,2,2.23606797749979,Driving Finger Roll Layup
TRUE,3,-10,24,26,Step Back Jump Shot
TRUE,3,6,26,26.68332812825267,Step Back Jump Shot
FALSE,0,-9,25,26.570660511172846,Pullup Jump Shot
FALSE,0,20,19,27.586228448267445,Jump Shot
FALSE,0,-20,12,23.323807579381203,Jump Shot
FALSE,0,0,7,7,Driving Floating Jump Shot
FALSE,0,0,6,6,Pullup Jump Shot
FALSE,0,5,19,19.6468827043885,Step Back Jump Shot
FALSE,0,2,26,26.076809620810597,Pullup Jump Shot
TRUE,2,-1,1,1.4142135623730951,Driving Layup Shot
FALSE,0,-2,26,26.076809620810597,Pullup Jump Shot
TRUE,3,-10,28,29.732137494637012,Pullup Jump Shot
TRUE,2,-1,12,12.041594578792296,Pullup Jump Shot
FALSE,0,0,8,8,Step Back Jump Shot
TRUE,2,0,1,1,Running Finger Roll Layup
TRUE,2,0,1,1,Running Layup Shot
TRUE,3,12,23,25.942243542145693,Step Back Jump Shot
FALSE,0,-2,27,27.073972741361768,Pullup Jump Shot
FALSE,0,-1,1,1.4142135623730951,Floating Jump Shot
TRUE,2,1,1,1.4142135623730951,Driving Layup Shot
FALSE,0,-16,27,31.38470965295043,Step Back Jump Shot
FALSE,0,11,6,12.529964086141668,Driving Floating Bank Jump Shot
FALSE,0,2,6,6.324555320336759,Driving Floating Jump Shot
FALSE,0,-11,26,28.231188426986208,Running Pullup Jump Shot
TRUE,2,1,0,1,Driving Finger Roll Layup
FALSE,0,-23,6,23.769728648009426,Jump Shot
FALSE,0,12,6,13.416407864998739,Driving Floating Bank Jump Shot
TRUE,3,-19,14,23.600847442411894,Step Back Jump Shot
FALSE,0,14,27,30.4138126514911,Jump Shot
FALSE,0,2,6,6.324555320336759,Driving Floating Jump Shot
FALSE,0,-11,25,27.313000567495326,Jump Shot
TRUE,2,6,9,10.816653826391969,Driving Floating Bank Jump Shot
FALSE,0,-1,28,28.0178514522438,Step Back Jump Shot
FALSE,0,0,1,1,Driving Finger Roll Layup
TRUE,2,-5,13,13.92838827718412,Driving Floating Jump Shot
FALSE,0,0,1,1,Layup Driving Reverse
FALSE,0,-1,15,15.033296378372908,Pullup Jump Shot
FALSE,0,17,19,25.495097567963924,Jump Shot
TRUE,2,0,1,1,Driving Finger Roll Layup
FALSE,0,-22,23,31.827660925679098,Jump Shot
TRUE,2,1,1,1.4142135623730951,Driving Finger Roll Layup
FALSE,0,10,23,25.079872407968907,Pullup Jump Shot
FALSE,0,13,26,29.068883707497267,Jump Shot
TRUE,3,-15,21,25.80697580112788,Step Back Jump Shot
FALSE,0,11,27,29.154759474226502,Pullup Jump Shot
FALSE,0,21,21,29.698484809834994,Step Back Jump Shot
FALSE,0,-9,24,25.632011235952593,Pullup Jump Shot
TRUE,3,23,12,25.942243542145693,Step Back Jump Shot
FALSE,0,-9,27,28.460498941515414,Pullup Jump Shot
TRUE,2,0,6,6,Driving Floating Jump Shot
FALSE,0,1,-1,1.4142135623730951,Driving Finger Roll Layup
FALSE,0,0,30,30,Pullup Jump Shot
TRUE,3,-15,28,31.76476034853718,Jump Shot
TRUE,3,-23,8,24.351591323771842,Jump Shot
FALSE,0,-1,30,30.01666203960727,Running Pullup Jump Shot
TRUE,2,-7,6,9.219544457292887,Driving Jump Shot Bank
FALSE,0,-18,26,31.622776601683793,Running Pullup Jump Shot
FALSE,0,-11,25,27.313000567495326,Step Back Jump Shot
TRUE,2,-15,12,19.209372712298546,Pullup Jump Shot
FALSE,0,1,29,29.017236257093817,Pullup Jump Shot
FALSE,0,-2,8,8.246211251235321,Driving Floating Bank Jump Shot
FALSE,0,7,30,30.805843601498726,Pullup Jump Shot
FALSE,0,-15,25,29.154759474226502,Pullup Jump Shot
TRUE,2,9,16,18.35755975068582,Step Back Jump Shot
TRUE,3,17,20,26.248809496813376,Pullup Jump Shot
FALSE,0,-19,19,26.870057685088806,Step Back Jump Shot
TRUE,3,-3,30,30.14962686336267,Pullup Jump Shot
TRUE,2,2,5,5.385164807134504,Driving Floating Jump Shot
TRUE,2,-13,9,15.811388300841896,Driving Floating Jump Shot
FALSE,0,-20,25,32.01562118716424,Jump Shot
TRUE,3,-21,18,27.65863337187866,Jump Shot
FALSE,0,11,11,15.556349186104045,Turnaround Fade Away Jump Shot
FALSE,0,-13,5,13.92838827718412,Step Back Jump Shot
FALSE,0,1,20,20.024984394500787,Step Back Jump Shot
TRUE,3,6,28,28.635642126552707,Running Pullup Jump Shot
FALSE,0,1,2,2.23606797749979,Driving Layup Shot
FALSE,0,-3,5,5.830951894845301,Driving Floating Jump Shot
TRUE,3,13,26,29.068883707497267,Jump Shot
FALSE,0,-13,11,17.029386365926403,Jump Shot
FALSE,0,-16,21,26.40075756488817,Step Back Jump Shot
FALSE,0,10,18,20.591260281974,Floating Jump Shot
FALSE,0,-6,16,17.08800749063506,Step Back Jump Shot
FALSE,0,-16,24,28.844410203711913,Step Back Jump Shot
TRUE,3,14,23,26.92582403567252,Step Back Jump Shot
FALSE,0,0,1,1,Driving Finger Roll Layup
TRUE,2,0,0,0,Driving Layup Shot
TRUE,2,-17,1,17.029386365926403,Fade Away Jump Shot
FALSE,0,-4,32,32.2490309931942,Pullup Jump Shot
FALSE,0,3,9,9.486832980505138,Driving Floating Jump Shot
FALSE,0,-11,25,27.313000567495326,Step Back Jump Shot
TRUE,3,2,25,25.079872407968907,Pullup Jump Shot
TRUE,2,0,1,1,Running Finger Roll Layup
TRUE,2,8,5,9.433981132056603,Driving Floating Bank Jump Shot
FALSE,0,21,21,29.698484809834994,Jump Shot
TRUE,3,-17,19,25.495097567963924,Step Back Jump Shot
FALSE,0,-9,25,26.570660511172846,Jump Shot
FALSE,0,0,1,1,Driving Layup Shot
TRUE,3,-7,24,25,Step Back Jump Shot
FALSE,0,-9,28,29.410882339705484,Pullup Jump Shot
FALSE,0,-4,30,30.265491900843113,Pullup Jump Shot
FALSE,0,-19,20,27.586228448267445,Step Back Jump Shot
FALSE,0,-3,26,26.1725046566048,Step Back Jump Shot
FALSE,0,3,2,3.605551275463989,Driving Layup Shot
TRUE,3,-13,23,26.419689627245813,Pullup Jump Shot
TRUE,2,3,1,3.1622776601683795,Driving Layup Shot
TRUE,3,16,18,24.08318915758459,Jump Shot
TRUE,2,1,2,2.23606797749979,Running Layup Shot
TRUE,2,2,2,2.8284271247461903,Driving Finger Roll Layup
FALSE,0,16,20,25.612496949731394,Pullup Jump Shot
FALSE,0,4,4,5.656854249492381,Layup Shot
TRUE,3,-7,24,25,Jump Shot
FALSE,0,-2,10,10.198039027185569,Turnaround Jump Shot
TRUE,2,0,2,2,Cutting Layup Shot
TRUE,2,-9,5,10.295630140987,Driving Floating Jump Shot
FALSE,0,2,26,26.076809620810597,Pullup Jump Shot
TRUE,3,-2,26,26.076809620810597,Pullup Jump Shot
TRUE,3,-5,25,25.495097567963924,Pullup Jump Shot
FALSE,0,-8,23,24.351591323771842,Running Pullup Jump Shot
FALSE,0,5,11,12.083045973594572,Driving Floating Jump Shot
TRUE,3,-10,26,27.85677655436824,Pullup Jump Shot
FALSE,0,12,21,24.186773244895647,Step Back Jump Shot
TRUE,2,0,2,2,Driving Finger Roll Layup
TRUE,3,13,20,23.853720883753127,Jump Shot
TRUE,3,-13,22,25.553864678361276,Pullup Jump Shot
FALSE,0,5,29,29.427877939124322,Pullup Jump Shot
TRUE,2,2,1,2.23606797749979,Driving Layup Shot
TRUE,2,0,1,1,Running Layup Shot
TRUE,3,-16,19,24.839484696748443,Step Back Jump Shot
FALSE,0,8,19,20.615528128088304,Running Pullup Jump Shot
FALSE,0,11,27,29.154759474226502,Pullup Jump Shot
TRUE,3,-15,19,24.20743687382041,Running Pullup Jump Shot
FALSE,0,0,27,27,Pullup Jump Shot
FALSE,0,13,26,29.068883707497267,Pullup Jump Shot
TRUE,3,17,21,27.018512172212592,Step Back Jump Shot
FALSE,0,20,17,26.248809496813376,Jump Shot
TRUE,2,1,3,3.1622776601683795,Driving Layup Shot
FALSE,0,6,27,27.65863337187866,Step Back Jump Shot
FALSE,0,20,16,25.612496949731394,Jump Shot
TRUE,3,-19,25,31.400636936215164,Pullup Jump Shot
FALSE,0,-12,29,31.38470965295043,Pullup Jump Shot
FALSE,0,2,1,2.23606797749979,Layup Shot
FALSE,0,-17,22,27.80287754891569,Running Jump Shot
FALSE,0,17,19,25.495097567963924,Jump Shot
TRUE,3,-11,24,26.40075756488817,Step Back Jump Shot
TRUE,2,1,1,1.4142135623730951,Driving Layup Shot
TRUE,2,1,11,11.045361017187261,Driving Floating Jump Shot
FALSE,0,-8,24,25.298221281347036,Pullup Jump Shot
FALSE,0,0,1,1,Driving Layup Shot
TRUE,2,3,2,3.605551275463989,Driving Finger Roll Layup
FALSE,0,-4,26,26.30589287593181,Step Back Jump Shot
TRUE,3,7,22,23.08679276123039,Jump Shot
FALSE,0,11,22,24.596747752497688,Pullup Jump Shot
FALSE,0,-1,3,3.1622776601683795,Driving Layup Shot
FALSE,0,5,9,10.295630140987,Driving Layup Shot
TRUE,2,3,9,9.486832980505138,Driving Floating Jump Shot
FALSE,0,-9,24,25.632011235952593,Pullup Jump Shot
FALSE,0,0,1,1,Driving Layup Shot
FALSE,0,7,26,26.92582403567252,Running Jump Shot
TRUE,3,-4,25,25.317977802344327,Jump Shot
FALSE,0,4,3,5,Driving Layup Shot
TRUE,3,10,24,26,Jump Shot
FALSE,0,-11,21,23.706539182259394,Pullup Jump Shot
TRUE,2,0,1,1,Driving Layup Shot
TRUE,3,11,24,26.40075756488817,Step Back Jump Shot
FALSE,0,-11,22,24.596747752497688,Step Back Jump Shot
FALSE,0,1,25,25.019992006393608,Pullup Jump Shot
FALSE,0,14,9,16.64331697709324,Pullup Jump Shot
FALSE,0,-4,27,27.294688127912362,Jump Shot
FALSE,0,2,1,2.23606797749979,Driving Layup Shot
FALSE,0,2,17,17.11724276862369,Pullup Jump Shot
TRUE,2,-10,14,17.204650534085253,Step Back Jump Shot
FALSE,0,2,1,2.23606797749979,Driving Layup Shot
FALSE,0,5,24,24.515301344262525,Step Back Jump Shot
TRUE,3,20,12,23.323807579381203,Jump Shot
TRUE,2,1,1,1.4142135623730951,Driving Layup Shot
TRUE,2,1,2,2.23606797749979,Driving Layup Shot
FALSE,0,-2,1,2.23606797749979,Driving Layup Shot
TRUE,3,-9,28,29.410882339705484,Pullup Jump Shot
FALSE,0,13,25,28.178005607210743,Step Back Jump Shot
TRUE,3,-6,23,23.769728648009426,Step Back Jump Shot
TRUE,2,2,2,2.8284271247461903,Driving Layup Shot
FALSE,0,-17,17,24.041630560342615,Running Pullup Jump Shot
TRUE,2,1,2,2.23606797749979,Running Layup Shot
FALSE,0,-1,25,25.019992006393608,Running Pullup Jump Shot
FALSE,0,13,28,30.870698080866262,Step Back Jump Shot
TRUE,2,1,1,1.4142135623730951,Driving Layup Shot
FALSE,0,19,24,30.610455730027933,Pullup Jump Shot
FALSE,0,0,19,19,Step Back Jump Shot
FALSE,0,-6,28,28.635642126552707,Pullup Jump Shot
TRUE,2,-2,-2,2.8284271247461903,Running Finger Roll Layup
FALSE,0,-23,2,23.08679276123039,Step Back Jump Shot
TRUE,2,15,13,19.849433241279208,Step Back Jump Shot
FALSE,0,-1,4,4.123105625617661,Driving Floating Jump Shot
FALSE,0,9,8,12.041594578792296,Driving Layup Shot
FALSE,0,-18,25,30.805843601498726,Running Pullup Jump Shot
TRUE,3,11,27,29.154759474226502,Jump Shot
FALSE,0,14,26,29.5296461204668,Step Back Jump Shot
TRUE,3,-14,23,26.92582403567252,Running Pullup Jump Shot
TRUE,2,-6,10,11.661903789690601,Driving Floating Jump Shot
FALSE,0,0,-2,2,Layup Shot
FALSE,0,-1,1,1.4142135623730951,Running Layup Shot
TRUE,2,0,4,4,Driving Layup Shot
TRUE,2,1,2,2.23606797749979,Driving Floating Jump Shot
TRUE,3,5,27,27.459060435491963,Pullup Jump Shot
FALSE,0,-4,28,28.284271247461902,Jump Shot
TRUE,3,1,29,29.017236257093817,Pullup Jump Shot
TRUE,2,3,3,4.242640687119285,Driving Finger Roll Layup
TRUE,2,1,1,1.4142135623730951,Driving Finger Roll Layup
FALSE,0,12,6,13.416407864998739,Driving Floating Jump Shot
TRUE,3,-16,26,30.528675044947494,Jump Shot
TRUE,3,-16,23,28.0178514522438,Jump Shot
FALSE,0,17,21,27.018512172212592,Jump Shot
FALSE,0,-22,20,29.732137494637012,Pullup Jump Shot
FALSE,0,0,24,24,Pullup Jump Shot
FALSE,0,20,18,26.90724809414742,Jump Shot
TRUE,2,14,12,18.439088914585774,Step Back Jump Shot
TRUE,3,-3,27,27.16615541441225,Pullup Jump Shot
FALSE,0,20,17,26.248809496813376,Pullup Jump Shot
FALSE,0,-20,21,29,Jump Shot
TRUE,2,1,2,2.23606797749979,Driving Finger Roll Layup
FALSE,0,-20,13,23.853720883753127,Pullup Jump Shot
FALSE,0,8,24,25.298221281347036,Pullup Jump Shot
FALSE,0,14,27,30.4138126514911,Pullup Jump Shot
TRUE,2,2,1,2.23606797749979,Running Layup Shot
FALSE,0,-11,24,26.40075756488817,Pullup Jump Shot
FALSE,0,16,28,32.2490309931942,Pullup Jump Shot
FALSE,0,16,19,24.839484696748443,Pullup Jump Shot
TRUE,2,1,5,5.0990195135927845,Driving Layup Shot
FALSE,0,-19,29,34.66987164671943,Pullup Jump Shot
FALSE,0,-3,26,26.1725046566048,Pullup Jump Shot
TRUE,2,1,1,1.4142135623730951,Driving Layup Shot
FALSE,0,20,14,24.413111231467404,Step Back Jump Shot
FALSE,0,9,23,24.698178070456937,Pullup Jump Shot
TRUE,2,1,1,1.4142135623730951,Driving Layup Shot
FALSE,0,-12,14,18.439088914585774,Step Back Jump Shot
FALSE,0,18,15,23.430749027719962,Jump Shot
TRUE,2,1,3,3.1622776601683795,Driving Layup Shot
TRUE,3,12,22,25.059928172283335,Jump Shot
TRUE,2,1,2,2.23606797749979,Running Layup Shot
FALSE,0,2,2,2.8284271247461903,Driving Layup Shot
TRUE,2,-2,2,2.8284271247461903,Driving Layup Shot
FALSE,0,-22,3,22.20360331117452,Step Back Jump Shot
TRUE,3,21,13,24.698178070456937,Pullup Jump Shot
TRUE,2,0,1,1,Driving Layup Shot
FALSE,0,0,27,27,Step Back Jump Shot
TRUE,2,-1,1,1.4142135623730951,Driving Layup Shot
TRUE,2,1,5,5.0990195135927845,Layup Shot
FALSE,0,-19,16,24.839484696748443,Pullup Jump Shot
FALSE,0,0,7,7,Floating Jump Shot
TRUE,2,0,1,1,Driving Layup Shot
FALSE,0,-3,26,26.1725046566048,Pullup Jump Shot
FALSE,0,-2,24,24.08318915758459,Step Back Jump Shot
FALSE,0,0,20,20,Step Back Jump Shot
FALSE,0,-2,27,27.073972741361768,Pullup Jump Shot
TRUE,3,-9,26,27.51363298439521,Step Back Jump Shot
FALSE,0,17,16,23.345235059857504,Pullup Jump Shot
TRUE,2,-4,5,6.4031242374328485,Driving Floating Bank Jump Shot
FALSE,0,1,2,2.23606797749979,Driving Layup Shot
FALSE,0,-18,19,26.1725046566048,Pullup Jump Shot
FALSE,0,20,13,23.853720883753127,Jump Shot
